,time,open,high,low,close,date,symbol,rsi,candle_color,next_candle_color,next_candle_close,next_candle_open,pattern,next_candle_high,next_candle_low,candle_diff_pct
0,33300,17387.15,17478.1,17387.15,17462.35,220103,NIFTY,,Green,Green,17463.35,17463.2,,17475.05,17450.75,
1,34200,17463.2,17475.05,17450.75,17463.35,220103,NIFTY,,Green,Green,17497.5,17463.1,,17498.2,17461.0,
2,35100,17463.1,17498.2,17461.0,17497.5,220103,NIFTY,,Green,Green,17498.1,17496.3,,17501.65,17486.25,0.523
3,36000,17496.3,17501.65,17486.25,17498.1,220103,NIFTY,,Green,Green,17512.75,17499.45,,17517.85,17488.0,0.272
4,36900,17499.45,17517.85,17488.0,17512.75,220103,NIFTY,,Green,Red,17510.15,17512.8,,17526.55,17506.65,0.233
5,37800,17512.8,17526.55,17506.65,17510.15,220103,NIFTY,,Red,Green,17517.3,17510.45,,17520.25,17506.6,0.181
6,38700,17510.45,17520.25,17506.6,17517.3,220103,NIFTY,,Green,Green,17527.65,17518.9,,17527.9,17510.4,0.22
7,39600,17518.9,17527.9,17510.4,17527.65,220103,NIFTY,,Green,Red,17523.6,17528.35,,17531.4,17516.45,0.114
8,40500,17528.35,17531.4,17516.45,17523.6,220103,NIFTY,,Red,Green,17527.95,17523.4,,17532.7,17512.0,0.122
9,41400,17523.4,17532.7,17512.0,17527.95,220103,NIFTY,,Green,Green,17531.2,17527.9,,17531.2,17521.2,0.12
10,42300,17527.9,17531.2,17521.2,17531.2,220103,NIFTY,,Green,Red,17525.35,17530.9,,17534.0,17516.45,0.118
11,43200,17530.9,17534.0,17516.45,17525.35,220103,NIFTY,,Red,Green,17545.0,17523.7,,17545.35,17523.7,0.118
12,44100,17523.7,17545.35,17523.7,17545.0,220103,NIFTY,,Green,Green,17566.4,17544.55,,17578.95,17544.3,0.1
13,45000,17544.55,17578.95,17544.3,17566.4,220103,NIFTY,,Green,Green,17570.05,17566.5,Bullish Engulfing,17576.25,17561.85,0.165
14,45900,17566.5,17576.25,17561.85,17570.05,220103,NIFTY,90.58,Green,Green,17575.9,17570.05,,17579.2,17568.5,0.315
15,46800,17570.05,17579.2,17568.5,17575.9,220103,NIFTY,90.91,Green,Green,17580.15,17575.85,,17588.35,17575.85,0.198
16,47700,17575.85,17588.35,17575.85,17580.15,220103,NIFTY,88.39,Green,Red,17575.65,17580.0,,17581.45,17567.95,0.099
17,48600,17580.0,17581.45,17567.95,17575.65,220103,NIFTY,84.76,Red,Green,17592.3,17576.55,,17594.45,17576.15,0.113
18,49500,17576.55,17594.45,17576.15,17592.3,220103,NIFTY,85.03,Green,Green,17611.0,17591.85,,17613.85,17590.3,0.116
19,50400,17591.85,17613.85,17590.3,17611.0,220103,NIFTY,88.89,Green,Green,17622.1,17611.5,,17627.65,17607.15,0.151
20,51300,17611.5,17627.65,17607.15,17622.1,220103,NIFTY,89.22,Green,Green,17634.2,17622.1,,17646.1,17616.25,0.214
21,52200,17622.1,17646.1,17616.25,17634.2,220103,NIFTY,89.36,Green,Red,17612.2,17634.05,,17638.35,17610.15,0.212
22,53100,17634.05,17638.35,17610.15,17612.2,220103,NIFTY,78.9,Red,Green,17622.0,17611.1,,17635.35,17604.8,0.221
23,54000,17611.1,17635.35,17604.8,17622.0,220103,NIFTY,79.62,Green,Green,17635.35,17622.6,,17640.55,17617.7,0.204
24,54900,17622.6,17640.55,17617.7,17635.35,220103,NIFTY,80.84,Green,Green,17691.0,17681.4,,17714.95,17648.8,0.191
25,33300,17681.4,17714.95,17648.8,17691.0,220104,NIFTY,87.88,Green,Red,17657.4,17691.0,,17694.8,17594.25,0.203
26,34200,17691.0,17694.8,17594.25,17657.4,220104,NIFTY,74.16,Red,Green,17699.95,17657.85,,17701.0,17655.0,0.552
27,35100,17657.85,17701.0,17655.0,17699.95,220104,NIFTY,76.32,Green,Green,17722.4,17699.7,Bearish Engulfing,17723.05,17690.45,0.686
28,36000,17699.7,17723.05,17690.45,17722.4,220104,NIFTY,77.95,Green,Red,17711.75,17722.45,,17733.05,17699.15,0.607
29,36900,17722.45,17733.05,17699.15,17711.75,220104,NIFTY,74.49,Red,Red,17695.8,17711.85,,17726.05,17693.8,0.385
30,37800,17711.85,17726.05,17693.8,17695.8,220104,NIFTY,70.01,Red,Green,17711.25,17694.55,,17712.8,17682.0,0.241
31,38700,17694.55,17712.8,17682.0,17711.25,220104,NIFTY,72.6,Green,Red,17692.45,17711.45,,17717.1,17692.45,0.222
32,39600,17711.45,17717.1,17692.45,17692.45,220104,NIFTY,66.57,Red,Red,17685.15,17691.45,,17701.4,17665.2,0.249
33,40500,17691.45,17701.4,17665.2,17685.15,220104,NIFTY,62.75,Red,Green,17709.8,17684.75,Bearish Engulfing,17711.15,17679.8,0.199
34,41400,17684.75,17711.15,17679.8,17709.8,220104,NIFTY,64.41,Green,Green,17713.15,17709.85,,17717.95,17701.1,0.294
35,42300,17709.85,17717.95,17701.1,17713.15,220104,NIFTY,63.36,Green,Green,17732.6,17712.45,Bullish Engulfing,17733.35,17706.7,0.26
36,43200,17712.45,17733.35,17706.7,17732.6,220104,NIFTY,70.55,Green,Red,17724.45,17732.65,,17733.9,17717.65,0.216
37,44100,17732.65,17733.9,17717.65,17724.45,220104,NIFTY,67.58,Red,Green,17740.05,17725.55,,17742.5,17718.15,0.182
38,45000,17725.55,17742.5,17718.15,17740.05,220104,NIFTY,67.83,Green,Red,17734.1,17739.55,,17743.5,17719.3,0.154
