,time,open,high,low,close,date,symbol,rsi,candle_color,next_candle_color,next_candle_close,next_candle_open,pattern,next_candle_high,next_candle_low,candle_diff_pct,ATM,new_symbol_call,new_symbol_put
0,33300,38719.6,38744.2,38641.85,38723.05,220112,BANKNIFTY,,Green,Red,38712.55,38721.6,,38732.85,38682.7,,38700,BANKNIFTY13012238700CE,BANKNIFTY13012238700PE
1,33600,38721.6,38732.85,38682.7,38712.55,220112,BANKNIFTY,,Red,Red,38667.0,38715.05,,38731.0,38662.05,,38700,BANKNIFTY13012238700CE,BANKNIFTY13012238700PE
2,33900,38715.05,38731.0,38662.05,38667.0,220112,BANKNIFTY,,Red,Red,38657.05,38673.35,,38691.75,38621.05,0.265,38700,BANKNIFTY13012238700CE,BANKNIFTY13012238700PE
3,34200,38673.35,38691.75,38621.05,38657.05,220112,BANKNIFTY,,Red,Green,38670.2,38655.85,,38670.2,38640.3,0.183,38700,BANKNIFTY13012238700CE,BANKNIFTY13012238700PE
4,34500,38655.85,38670.2,38640.3,38670.2,220112,BANKNIFTY,,Green,Green,38754.65,38666.5,,38767.45,38650.65,0.285,38700,BANKNIFTY13012238700CE,BANKNIFTY13012238700PE
5,34800,38666.5,38767.45,38650.65,38754.65,220112,BANKNIFTY,,Green,Red,38756.25,38761.1,,38780.95,38725.3,0.183,38800,BANKNIFTY13012238800CE,BANKNIFTY13012238800PE
6,35100,38761.1,38780.95,38725.3,38756.25,220112,BANKNIFTY,,Red,Green,38750.35,38750.1,,38752.8,38718.5,0.329,38800,BANKNIFTY13012238800CE,BANKNIFTY13012238800PE
7,35400,38750.1,38752.8,38718.5,38750.35,220112,BANKNIFTY,,Green,Green,38780.4,38747.8,,38791.35,38747.8,0.337,38800,BANKNIFTY13012238800CE,BANKNIFTY13012238800PE
8,35700,38747.8,38791.35,38747.8,38780.4,220112,BANKNIFTY,,Green,Red,38725.4,38781.85,,38792.15,38725.4,0.161,38800,BANKNIFTY13012238800CE,BANKNIFTY13012238800PE
9,36000,38781.85,38792.15,38725.4,38725.4,220112,BANKNIFTY,,Red,Green,38792.2,38715.75,,38814.2,38715.75,0.188,38700,BANKNIFTY13012238700CE,BANKNIFTY13012238700PE
10,36300,38715.75,38814.2,38715.75,38792.2,220112,BANKNIFTY,,Green,Green,38790.8,38787.75,Bearish Engulfing,38806.05,38781.95,0.172,38800,BANKNIFTY13012238800CE,BANKNIFTY13012238800PE
11,36600,38787.75,38806.05,38781.95,38790.8,220112,BANKNIFTY,,Green,Green,38794.1,38789.9,Bullish Engulfing,38838.95,38761.25,0.254,38800,BANKNIFTY13012238800CE,BANKNIFTY13012238800PE
12,36900,38789.9,38838.95,38761.25,38794.1,220112,BANKNIFTY,,Green,Green,38811.3,38793.4,,38812.0,38770.4,0.254,38800,BANKNIFTY13012238800CE,BANKNIFTY13012238800PE
13,37200,38793.4,38812.0,38770.4,38811.3,220112,BANKNIFTY,,Green,Green,38840.6,38804.7,,38848.8,38804.7,0.2,38800,BANKNIFTY13012238800CE,BANKNIFTY13012238800PE
14,37500,38804.7,38848.8,38804.7,38840.6,220112,BANKNIFTY,65.71,Green,Red,38827.8,38838.2,,38846.25,38818.35,0.2,38800,BANKNIFTY13012238800CE,BANKNIFTY13012238800PE
15,37800,38838.2,38846.25,38818.35,38827.8,220112,BANKNIFTY,65.31,Red,Red,38788.9,38826.15,,38830.8,38779.7,0.202,38800,BANKNIFTY13012238800CE,BANKNIFTY13012238800PE
16,38100,38826.15,38830.8,38779.7,38788.9,220112,BANKNIFTY,66.48,Red,Green,38814.85,38785.3,,38814.85,38777.3,0.114,38800,BANKNIFTY13012238800CE,BANKNIFTY13012238800PE
17,38400,38785.3,38814.85,38777.3,38814.85,220112,BANKNIFTY,70.45,Green,Red,38773.5,38815.1,,38821.25,38770.35,0.172,38800,BANKNIFTY13012238800CE,BANKNIFTY13012238800PE
18,38700,38815.1,38821.25,38770.35,38773.5,220112,BANKNIFTY,62.48,Red,Red,38772.7,38773.7,,38802.35,38756.1,0.138,38800,BANKNIFTY13012238800CE,BANKNIFTY13012238800PE
