,time,date,symbol,open,high,low,close
0,33300,220103,BANKNIFTY,35585.2,35703.0,35585.2,35664.45
1,33360,220103,BANKNIFTY,35660.6,35681.5,35655.8,35658.8
2,33420,220103,BANKNIFTY,35658.8,35658.8,35618.05,35643.1
3,33480,220103,BANKNIFTY,35640.85,35685.7,35637.0,35685.0
4,33540,220103,BANKNIFTY,35684.1,35696.45,35672.55,35694.45
5,33600,220103,BANKNIFTY,35689.05,35696.85,35656.75,35656.75
6,33660,220103,BANKNIFTY,35651.3,35654.25,35630.9,35646.2
7,33720,220103,BANKNIFTY,35642.7,35651.9,35623.95,35643.25
8,33780,220103,BANKNIFTY,35649.55,35649.55,35600.25,35605.95
9,33840,220103,BANKNIFTY,35601.05,35604.55,35549.8,35560.45
10,33900,220103,BANKNIFTY,35558.35,35605.0,35554.8,35563.1
11,33960,220103,BANKNIFTY,35567.1,35583.0,35558.8,35579.75
12,34020,220103,BANKNIFTY,35576.15,35592.0,35571.25,35592.0
13,34080,220103,BANKNIFTY,35591.0,35624.65,35591.0,35614.8
14,34140,220103,BANKNIFTY,35615.3,35622.4,35600.85,35600.85
15,34200,220103,BANKNIFTY,35605.7,35624.85,35595.6,35607.1
16,34260,220103,BANKNIFTY,35605.35,35605.35,35530.05,35562.4
17,34320,220103,BANKNIFTY,35566.8,35566.8,35539.85,35540.65
18,34380,220103,BANKNIFTY,35543.35,35571.1,35538.9,35567.65
19,34440,220103,BANKNIFTY,35571.55,35612.15,35559.7,35612.15
20,34500,220103,BANKNIFTY,35609.6,35625.8,35604.85,35611.2
21,34560,220103,BANKNIFTY,35608.4,35630.9,35603.8,35622.5
22,34620,220103,BANKNIFTY,35628.5,35640.45,35627.45,35639.1
23,34680,220103,BANKNIFTY,35634.8,35659.55,35634.15,35655.2
24,34740,220103,BANKNIFTY,35657.65,35675.35,35653.65,35664.5
25,34800,220103,BANKNIFTY,35669.7,35669.7,35638.7,35653.95
26,34860,220103,BANKNIFTY,35653.5,35660.15,35646.3,35660.15
27,34920,220103,BANKNIFTY,35659.7,35661.2,35640.35,35649.8
28,34980,220103,BANKNIFTY,35650.45,35663.15,35639.25,35663.15
29,35040,220103,BANKNIFTY,35665.35,35665.35,35644.0,35651.35
30,35100,220103,BANKNIFTY,35652.05,35667.95,35632.95,35664.1
31,35160,220103,BANKNIFTY,35665.9,35707.9,35665.8,35707.75
32,35220,220103,BANKNIFTY,35723.45,35740.2,35720.0,35740.2
33,35280,220103,BANKNIFTY,35738.95,35763.5,35723.2,35758.0
34,35340,220103,BANKNIFTY,35761.8,35773.55,35761.4,35770.8
35,35400,220103,BANKNIFTY,35772.4,35781.25,35757.9,35780.65
36,35460,220103,BANKNIFTY,35780.05,35791.3,35779.4,35786.05
37,35520,220103,BANKNIFTY,35784.35,35789.85,35778.95,35783.7
38,35580,220103,BANKNIFTY,35786.2,35816.55,35774.0,35810.35
39,35640,220103,BANKNIFTY,35809.85,35815.05,35790.25,35807.3
40,35700,220103,BANKNIFTY,35801.8,35809.75,35782.8,35786.45
41,35760,220103,BANKNIFTY,35784.35,35791.15,35781.5,35786.05
42,35820,220103,BANKNIFTY,35788.65,35813.15,35782.95,35811.0
43,35880,220103,BANKNIFTY,35809.7,35810.3,35793.85,35794.6
44,35940,220103,BANKNIFTY,35795.85,35802.6,35791.15,35800.5
45,36000,220103,BANKNIFTY,35798.0,35810.2,35792.45,35803.5
46,36060,220103,BANKNIFTY,35809.1,35809.1,35792.45,35798.9
47,36120,220103,BANKNIFTY,35796.95,35805.8,35793.1,35805.4
48,36180,220103,BANKNIFTY,35804.5,35838.0,35798.3,35838.0
49,36240,220103,BANKNIFTY,35835.2,35854.2,35832.8,35854.2
50,36300,220103,BANKNIFTY,35852.25,35852.25,35824.8,35829.9
51,36360,220103,BANKNIFTY,35828.45,35830.5,35808.25,35813.25
52,36420,220103,BANKNIFTY,35809.55,35837.3,35807.3,35824.6
53,36480,220103,BANKNIFTY,35818.65,35825.75,35812.5,35818.35
54,36540,220103,BANKNIFTY,35821.0,35828.15,35817.3,35826.25
55,36600,220103,BANKNIFTY,35827.75,35843.95,35826.0,35837.15
56,36660,220103,BANKNIFTY,35836.6,35846.65,35835.3,35838.8
57,36720,220103,BANKNIFTY,35839.85,35839.85,35824.9,35832.7
58,36780,220103,BANKNIFTY,35831.8,35835.85,35822.5,35830.45
59,36840,220103,BANKNIFTY,35833.0,35833.85,35822.2,35823.9
60,36900,220103,BANKNIFTY,35827.45,35829.25,35803.45,35807.2
61,36960,220103,BANKNIFTY,35810.5,35810.5,35789.6,35798.6
62,37020,220103,BANKNIFTY,35800.1,35805.1,35792.55,35796.1
63,37080,220103,BANKNIFTY,35799.2,35805.95,35792.75,35802.7
64,37140,220103,BANKNIFTY,35803.0,35826.3,35799.55,35814.95
65,37200,220103,BANKNIFTY,35814.8,35835.8,35810.25,35834.7
66,37260,220103,BANKNIFTY,35834.35,35845.1,35830.0,35841.9
67,37320,220103,BANKNIFTY,35841.8,35842.1,35833.9,35833.9
68,37380,220103,BANKNIFTY,35833.5,35864.85,35831.6,35862.95
69,37440,220103,BANKNIFTY,35862.3,35868.9,35855.3,35864.15
70,37500,220103,BANKNIFTY,35864.8,35874.25,35863.05,35866.55
71,37560,220103,BANKNIFTY,35867.3,35892.0,35865.35,35887.25
72,37620,220103,BANKNIFTY,35888.75,35892.05,35872.8,35876.05
73,37680,220103,BANKNIFTY,35879.95,35888.2,35876.25,35887.25
74,37740,220103,BANKNIFTY,35888.75,35897.9,35884.95,35891.6
75,37800,220103,BANKNIFTY,35896.65,35910.75,35894.3,35906.7
76,37860,220103,BANKNIFTY,35907.65,35909.9,35894.9,35894.9
77,37920,220103,BANKNIFTY,35892.0,35946.0,35892.0,35946.0
78,37980,220103,BANKNIFTY,35940.6,35940.6,35903.75,35903.75
79,38040,220103,BANKNIFTY,35907.15,35921.6,35904.9,35912.55
80,38100,220103,BANKNIFTY,35909.3,35918.65,35909.3,35915.15
81,38160,220103,BANKNIFTY,35917.1,35917.1,35901.45,35901.45
82,38220,220103,BANKNIFTY,35901.6,35901.6,35891.05,35893.4
83,38280,220103,BANKNIFTY,35895.15,35898.7,35889.95,35889.95
84,38340,220103,BANKNIFTY,35890.45,35893.7,35876.95,35876.95
85,38400,220103,BANKNIFTY,35876.35,35903.6,35876.35,35889.15
86,38460,220103,BANKNIFTY,35892.3,35900.95,35890.3,35890.3
87,38520,220103,BANKNIFTY,35890.65,35896.5,35875.1,35875.45
88,38580,220103,BANKNIFTY,35878.6,35889.0,35874.9,35874.9
89,38640,220103,BANKNIFTY,35873.1,35879.7,35868.9,35876.75
90,38700,220103,BANKNIFTY,35874.25,35888.0,35872.45,35882.0
91,38760,220103,BANKNIFTY,35878.25,35888.4,35877.8,35887.6
92,38820,220103,BANKNIFTY,35888.65,35888.65,35865.6,35872.8
93,38880,220103,BANKNIFTY,35871.5,35874.5,35866.05,35867.0
